20,4,12.9766,77.5993,560001
24,3,12.977,77.5773,560009
22,3,12.9551,77.6593,560017
22,6,12.9473,77.5616,560019
22,4,12.985,77.5533,560010
22,3,12.977,77.5773,560009
24,3,12.9828,77.6131,560042
23,2,12.9766,77.5993,560001
23,4,12.9854,77.5993,560048
22,5,12.985,77.5533,560010
23,2,12.977,77.5773,560009
21,4,12.977,77.5773,560009
23,5,12.9438,77.5738,560004
28,2,12.9783,77.6408,560038
23,3,12.982,77.6256,560008
21,1,12.9783,77.6408,560038
24,3,12.977,77.5773,560009
22,4,12.9983,77.6409,560033
23,4,12.9925,77.5633,560021
25,3,12.982,77.6256,560008
22,5,12.9353,77.5585,560050
23,3,12.9854,77.5993,560048
22,4,13.0019,77.5713,560003
22,5,12.9698,77.75,560036
22,4,12.9783,77.6408,560038
25,4,12.9261,77.6221,560034
22,5,12.985,77.5533,560010
25,5,12.977,77.5773,560009
32,5,12.982,77.6256,560008
23,3,12.9438,77.5738,560004
30,4,12.9662,77.6068,560025
23,3,12.9565,77.5484,560026
23,4,12.9925,77.5633,560021
22,5,12.985,77.5533,560010
22,5,12.985,77.5533,560010
27,2,12.9261,77.6221,560034
24,3,12.977,77.5773,560009
23,2,12.977,77.5773,560009
23,3,12.982,77.6256,560008
22,5,12.985,77.5533,560010
23,5,13.0206,77.6479,560043
23,2,12.977,77.5773,560009
24,3,12.977,77.5773,560009
25,2,12.9635,77.5821,560002
28,2,13.0067,77.545,560086
22,1,12.8845,77.6036,560026
24,3,12.977,77.5773,560009
31,5,12.9119,77.6446,560002
25,4,13.0067,77.545,560006
23,5,12.8988,77.5764,560058
22,3,12.8845,77.6036,560016
23,1,13.0158,77.539,560096
23,4,12.9343,77.6044,560029
23,2,13.0019,77.5713,560003
25,6,13.0012,77.5995,560046
22,4,12.9442,77.6076,560030
23,4,13.0487,77.5923,560024
23,4,13.0487,77.5923,560024
24,4,12.9438,77.5738,560004
22,4,12.9889,77.5741,560020
24,3,12.9335,77.5691,560028
25,3,12.9766,77.5993,560001
23,2,12.8845,77.6036,560076
26,4,13.0019,77.5713,560003
24,3,12.9037,77.5864,560064
26,4,12.9048,77.6821,560036
21,4,12.977,77.5773,560009
22,3,12.977,77.5773,560009
24,5,12.9337,77.59,560011
24,4,12.9037,77.5376,560011
23,3,12.977,77.5773,560009
23,3,12.9343,77.6044,560029
22,3,12.9438,77.5738,560004
23,3,12.977,77.5773,560009
24,4,12.9783,77.6408,560038
24,5,12.9337,77.59,560011
25,1,12.977,77.5773,560009
25,5,12.977,77.5773,560009
28,2,13.0289,77.54,560022
27,5,13.0289,77.54,560022
26,1,12.9698,77.75,560066
22,2,12.977,77.5773,560009
24,3,12.977,77.5773,560009
23,1,12.9561,77.5921,560027
25,1,12.977,77.5773,560009
23,5,13.0206,77.6479,560043
23,5,13.0206,77.6479,560043
26,5,12.9579,77.6309,560007
32,3,13.014,77.5658,560012
24,3,12.9335,77.5691,560028
23,2,12.9442,77.6076,560030
22,3,12.9698,77.75,560066
24,3,12.9438,77.5738,560004
26,2,12.9261,77.6221,560034
28,3,12.9698,77.75,560066
26,2,12.9698,77.75,560066
25,1,12.9343,77.6044,560029
25,2,12.9698,77.75,560016
18,5,12.9635,77.5821,560002
21,4,12.977,77.5773,560009
25,1,12.9343,77.6044,560029
25,2,12.9925,77.5633,560021
23,5,13.0206,77.6479,560043
22,2,12.985,77.5533,560010
25,4,12.9551,77.6593,560017
31,5,13.0289,77.54,560022
24,2,13.0138,77.5877,560006
32,5,12.9261,77.6221,560034
25,3,12.9766,77.5993,560001
27,5,12.9766,77.5993,560001
26,3,12.9766,77.5993,560001
26,3,12.9635,77.5821,560002
25,3,12.998,77.6227,560005
33,5,12.998,77.6227,560005
26,3,12.998,77.6227,560005
22,4,12.9343,77.6044,560029
